GS,10-K,March,[b'march/NN'],NNP,ner,d480167d10k.htm,s5,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,21,[],CD,ner,d480167d10k.htm,s5,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,2019,[],CD,ner,d480167d10k.htm,s5,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,GS,[b'gs/NN'],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,Finance,[b'finance/NN'],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,Corp,[b'corp/NN'],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,Leveraged,[b'leverage/VB'],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,Buffered,[b'buffer/VB'],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,S,[],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,P,[],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,500®,[],CD,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,Index-Linked,[b'index/NN'\, b'link/VB'],JJ,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,Notes,[b'note/NN'],NNS,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,due,[b'due/JJ'],JJ,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,guaranteed,[b'guarantee/VB'],VBN,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,The,[],DT,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,Goldman,[b'goldman/NN'],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,Sachs,[b'sachs/NN'],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,Group,[b'group/NN'],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,Inc.,[b'inc/NN'],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,GS,[b'gs/NN'],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,Finance,[b'finance/NN'],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,Corp,[b'corp/NN'],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
GS,10-K,Leveraged,[b'leverage/VB'],NNP,ner,d480167d10k.htm,s6,https://www.sec.gov/Archives/edgar/data/886982/000156459019008879/gs-424b2.htm
